1,Sydelle Theurer,9
2,Bernie Daybell,77
3,Sula Poli,38
4,Waly Blackborn,49
5,Kellby Ferrey,47
6,Olly Marns,41
7,Malachi Pullinger,
8,Paule Gott,55
9,Phineas Waistell,48
10,,73
11,Barney Dinjes,19
12,Flore Zmitruk,5
13,Kennedy Syrett,55
14,Merissa Mableson,92
15,Barnebas Sibylla,72
16,Odie Loyley,37
17,,
18,Fae des Remedios,67
19,Fairleigh Barbrick,54
20,Tamarah Rickford,44
21,Parsifal Stoneham,30
22,Corbet Hayfield,
23,Welby Beardshall,25
24,Julieta Bauer,22
25,Margalit MacVean,55
26,Penelope Trounson,46
27,Jessica Steinson,67
28,Julieta Bargery,43
29,Ashely Ivins,80
30,Napoleon Gyer,68
31,,73
32,Juli Bridywater,53
33,Babs Teligin,54
34,Sophie Grishankov,22
35,Tomkin Batalini,17
36,,
37,Babette Butt,99
38,Adrianna Godbehere,49
39,Rickert Molyneux,51
40,Odele McGarvey,17
41,Rosy Simons,18
42,Cherlyn Ravelus,33
43,Bradley Danilovitch,67
44,Zachariah Bentzen,85
45,Elane Costellow,60
46,Valentino Brownsea,47
47,Brod Brave,95
48,Kaylil Renvoys,18
49,Octavia Gogie,28
50,Upton Bloom,67
